Wins,NetRtg,DRtg,ORtgSOS Rank,Losses,Conf,Team_Name,Winner
24,-0.48,107.6,327,11,13,95,0.0
22,-3.38,106.9,317,13,30,66,0.0
19,-7.21,107.7,320,17,18,96,0.0
21,-8.36,115.1,362,16,31,97,0.16666666666666666
14,-11.16,106.6,337,21,29,98,0.0
28,30.95,89.7,101,4,6,11,0.3333333333333333
32,27.7,89.1,81,6,9,1,0.5
34,27.49,91.7,20,6,1,25,1.0
27,27.04,91.0,36,7,1,14,0.16666666666666666
33,25.96,92.6,70,4,4,5,0.3333333333333333
26,25.72,94.3,58,8,3,21,0.0
27,25.64,85.0,26,10,1,28,0.3333333333333333
32,25.15,95.9,24,7,5,6,0.6666666666666666
27,25.1,86.4,9,8,3,4,0.16666666666666666
30,24.56,92.9,6,8,0,99,0.6666666666666666
27,24.26,91.7,43,8,4,68,0.3333333333333333
28,23.2,89.5,52,6,3,3,0.16666666666666666
26,22.72,97.8,45,10,2,79,0.0
29,22.36,98.6,19,8,2,2,0.3333333333333333
22,20.88,91.6,27,12,1,23,0.16666666666666666
29,20.13,94.3,8,10,5,8,0.8333333333333334
26,19.53,90.6,54,8,6,19,0.16666666666666666
28,19.46,90.4,33,9,3,73,0.5
23,18.86,96.1,37,13,5,100,0.0
23,18.75,93.3,7,10,2,9,0.16666666666666666
22,18.65,88.7,44,12,3,101,0.0
23,18.55,95.3,77,10,0,0,0.0
24,17.38,93.1,82,10,6,102,0.0
22,17.23,94.0,59,11,9,71,0.16666666666666666
23,17.07,86.3,78,9,7,20,0.0
21,17.02,91.7,21,13,1,36,0.16666666666666666
19,16.61,97.2,1,15,2,103,0.3333333333333333
19,16.57,98.6,2,14,3,13,0.0
25,16.52,92.1,98,8,11,104,0.0
19,16.48,94.6,31,16,1,105,0.0
20,16.24,99.3,13,12,2,106,0.16666666666666666
27,15.89,95.6,55,6,0,78,0.3333333333333333
27,15.69,93.4,67,13,3,31,0.0
31,15.42,96.1,227,3,18,107,0.16666666666666666
25,15.34,94.0,12,8,2,16,0.16666666666666666
24,15.25,97.2,48,11,5,108,0.16666666666666666
27,15.14,92.4,95,8,7,37,0.0
27,14.85,101.9,164,7,8,109,0.0
26,14.8,99.1,35,11,5,75,0.5
23,14.76,97.1,4,13,2,15,0.16666666666666666
22,14.63,88.5,16,13,1,7,0.3333333333333333
24,14.46,94.6,127,11,8,29,0.0
25,14.45,98.4,88,6,7,32,0.0
26,14.14,95.6,90,8,4,80,0.0
21,14.04,92.9,17,14,2,76,0.0
23,13.78,92.2,34,12,0,10,0.16666666666666666
27,13.67,98.8,189,8,21,53,0.0
21,13.61,93.5,32,11,0,110,0.0
28,13.2,97.9,323,6,17,52,0.0
19,13.06,96.2,40,13,0,12,0.0
24,12.59,96.3,115,9,9,111,0.0
25,11.94,97.2,97,9,7,112,0.0
27,11.51,97.5,85,8,14,113,0.0
18,10.82,96.1,18,14,2,114,0.0
27,10.61,96.5,172,7,10,115,0.16666666666666666
30,10.58,104.8,158,5,22,58,0.0
24,9.45,98.7,80,13,8,116,0.16666666666666666
22,7.24,93.0,150,12,26,62,0.5
23,4.41,103.8,317,12,23,59,0.0
24,3.62,102.0,255,10,19,55,0.0
27,2.94,101.4,208,8,28,64,0.0
22,2.64,104.3,179,13,16,117,0.0
26,2.22,103.7,334,7,24,60,0.0
19,1.98,98.8,139,12,15,50,0.0
21,1.97,103.2,256,11,27,118,0.0
